,project_name,recommendation_code,file_path,message,line
0,destination_dir,CTA1065,/kernel_wrapper2.dp.cpp,"CTA1065:3: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",42
1,destination_dir,CTA1065,/main.dp.cpp,"CTA1065:0: CTA recommended to ignore this warning.
but you can also consider replacing 'item_ct1.barrier();'
with 'item_ct1.barrier(sycl::access::fence_space::local_space);'
to have have better performance if the kernel function
has no memory accesses in the global memory.",66
2,destination_dir,CTA1000,/chi2.dp.cpp,"CTA1000:1: Base on the experience, strongly recommended to ignore this warning.",217
3,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:0: Base on the experience, strongly recommended to ignore this warning.",222
4,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:0: Base on the experience, strongly recommended to ignore this warning.",231
5,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:2: Base on the experience, strongly recommended to ignore this warning.",236
6,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:0: Base on the experience, strongly recommended to ignore this warning.",248
7,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:4: Base on the experience, strongly recommended to ignore this warning.",253
8,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:0: Base on the experience, strongly recommended to ignore this warning.",287
9,destination_dir,CTA1001,/chi2.dp.cpp,"CTA1001:6: Base on the experience, strongly recommended to ignore this warning.",292
